Rank,Name,Country,Born,Order,Consistory,Office,PapalConclaveEligible,CreatedCardinalBy
190,Stephen Chow Sau-yan SJ,China(Hong Kong)[f],7 August 1959,CP,30 September 2023,Bishop of Hong Kong,True,Pope Francis
191,François-Xavier Bustillo OFMConv,France[p],23 November 1968,CP,30 September 2023,Bishop of Ajaccio,True,Pope Francis
192,Américo Aguiar,Portugal,12 December 1973,CP,30 September 2023,Bishop of Setúbal,True,Pope Francis
193,Diego Rafael Padrón Sánchez,Venezuela,17 May 1939,CP,30 September 2023,Archbishop emeritus of Cumaná,False,Pope Francis
194,Carlos Castillo Mattasoglio,Peru,28 February 1950,CP,7 December 2024,Archbishop of Lima,True,Pope Francis
195,Vicente Bokalic Iglic CM,Argentina,11 June 1952,CP,7 December 2024,Archbishop of Santiago del Estero,True,Pope Francis
196,Luis Cabrera Herrera OFM,Ecuador,11 October 1955,CP,7 December 2024,Archbishop of Guayaquil,True,Pope Francis
197,Fernando Chomalí Garib,Chile,10 March 1957,CP,7 December 2024,Archbishop of Santiago de Chile,True,Pope Francis
198,Tarcisio Isao Kikuchi SVD,Japan,1 November 1958,CP,7 December 2024,Archbishop of Tokyo,True,Pope Francis
199,Pablo Virgilio David,Philippines,2 March 1959,CP,7 December 2024,Bishop of Kalookan,True,Pope Francis
200,Ladislav Nemet SVD,Serbia[q],7 September 1956,CP,7 December 2024,Archbishop of Belgrade,True,Pope Francis
201,Jaime Spengler OFM,Brazil,6 September 1960,CP,7 December 2024,Archbishop of Porto Alegre,True,Pope Francis
202,Ignace Bessi Dogbo,Ivory Coast,17 August 1961,CP,7 December 2024,Archbishop of Abidjan,True,Pope Francis
203,Jean-Paul Vesco OP,Algeria[r],10 March 1962,CP,7 December 2024,Archbishop of Algiers,True,Pope Francis
204,Dominique Mathieu OFMConv,Iran[s],13 June 1963,CP,7 December 2024,Archbishop of Tehran–Isfahan,True,Pope Francis
205,Roberto Repole,Italy,29 January 1967,CP,7 December 2024,Archbishop of Turin and Bishop of Susa,True,Pope Francis
206,Baldassare Reina,Italy,26 November 1970,CP,7 December 2024,Vicar General for Rome and Archpriest of the Papal Basilica of Saint John Lateran,True,Pope Francis
207,Frank Leo,Canada,30 June 1971,CP,7 December 2024,Archbishop of Toronto,True,Pope Francis
208,Mykola Bychok CSsR,Australia[t],13 February 1980,CP,7 December 2024,Eparch of Saints Peter and Paul of Melbourne(Ukrainian Greek Church),True,Pope Francis
209,Domenico Battaglia,Italy,20 January 1963,CP,7 December 2024,Archbishop of Naples,True,Pope Francis
